timestamp,response_ms,inference_ms,request_id
651.392949,940.076375,939.201667,1
656.391133,938.133001,936.851125,2
661.411846,958.850958,957.630917,3
666.408179,955.173917,954.218125,4
671.399692,946.688459,945.552126,5
676.395517,942.524917,941.241000,6
681.411932,958.834334,957.724834,7
686.401101,948.113250,946.862001,8
691.385572,932.588126,931.801209,9
696.413759,960.752626,959.975625,10
701.408458,955.462959,954.314667,11
706.396809,943.810875,942.536000,12
711.395277,942.200292,941.074167,13
716.394431,941.434959,940.141126,14
721.403057,950.051959,948.810918,15
726.397935,944.900250,944.086208,16
731.405813,952.817542,951.657583,17
736.397880,944.877501,943.562375,18
741.387788,934.760167,934.004459,19
746.396243,943.254084,942.117751,20
751.396624,943.628292,942.501876,21
756.397465,944.391584,943.293751,22
761.398611,945.616001,944.437376,23
766.387867,934.871583,933.660292,24
771.389411,936.314458,934.775626,25
776.398926,945.931000,944.680625,26
781.400035,947.043417,945.725667,27
786.404724,951.720001,950.938626,28
791.396677,943.674376,942.503042,29
796.387457,934.460625,933.193625,30
801.408412,955.411625,954.581542,31
806.391363,938.310334,937.221250,32
811.379480,926.482084,925.358583,33
816.398208,945.208251,944.260334,34
821.398558,945.566418,944.422500,35
826.393631,940.630542,939.444042,36
831.390582,937.552875,936.632667,37
836.395484,942.494875,941.379542,38
841.402601,949.622042,948.829584,39
846.374729,921.724708,920.925542,40
851.393039,940.046917,938.811709,41
856.389987,937.009209,936.184376,42
861.385246,932.169292,931.096542,43
866.406460,953.419834,952.194542,44
871.398225,945.245584,944.423667,45
876.396125,943.092500,942.271459,46
881.397764,944.763751,943.606417,47
886.386878,933.877293,932.674167,48
891.399849,946.841875,946.062834,49
896.397817,944.825876,943.677292,50
901.431451,978.446292,977.261251,51
906.395180,942.140209,941.174209,52
911.377251,924.171209,923.066084,53
916.392460,939.460667,938.260167,54
921.384617,931.543959,930.407042,55
926.380589,927.597709,926.279375,56
931.400068,947.064126,945.712251,57
936.384542,931.471917,930.353376,58
941.400588,947.589417,946.406709,59
946.392587,939.612042,938.848459,60
951.380784,927.710876,926.621209,61
956.385364,932.376084,931.002042,62
961.407439,954.438917,952.870625,63
966.374661,921.626709,920.853209,64
971.413284,960.278376,959.079042,65
976.410893,957.894293,956.648584,66
981.384665,931.664418,930.867584,67
986.383462,930.474126,929.230459,68
991.389470,936.471667,935.280792,69
996.404624,951.622000,950.854042,70
1001.392270,939.273709,938.028000,71
1006.383606,930.614417,929.419751,72
1011.398884,945.882001,945.100626,73
1016.383741,930.752084,929.584543,74
1021.411938,958.939917,957.723083,75
1026.396490,943.434042,942.152459,76
1031.394969,941.975126,940.754792,77
1036.405304,952.304209,951.099626,78
1041.398412,945.322875,944.165542,79
1046.408261,955.269875,953.935501,80
1051.385096,932.092584,930.850959,81
1056.403749,950.690709,949.565167,82
1061.383630,930.553751,929.427626,83
1066.388086,935.088584,933.834417,84
1071.406258,953.211292,952.336000,85
1076.410854,957.862792,956.602792,86
1081.394155,941.154084,939.946584,87
1086.391029,938.029459,937.119459,88
1091.399066,946.071584,944.727875,89
1096.408202,955.206000,953.929376,90
1101.390154,937.148917,936.386500,91
1106.399952,946.963792,945.871500,92
1111.402128,949.134375,947.821584,93
1116.406228,953.223251,952.441584,94
1121.401345,948.343959,947.151917,95
1126.389228,936.194001,935.507709,96
1131.393273,940.272958,939.512292,97
1136.382430,929.432001,928.163833,98
1141.394987,941.987375,940.785418,99
1146.403254,950.224334,949.432168,100
1151.408989,955.990001,954.830334,101
1156.381422,928.424001,927.276000,102
1161.402817,949.811042,949.042792,103
1166.401556,948.559501,947.423750,104
1171.386131,933.139667,931.900376,105
1176.400412,947.407126,946.636251,106
1181.387833,934.835709,933.709001,107
1186.393647,940.655917,939.437625,108
1191.380676,927.602376,926.527584,109
1196.411431,958.435625,957.222584,110
1201.397401,944.404709,943.149667,111
1206.397773,944.706001,943.574626,112
1211.395343,942.348167,941.137168,113
1216.380458,927.451584,926.296001,114
1221.383151,930.125875,929.285876,115
1226.389171,936.178834,934.960834,116
1231.382085,929.088417,927.790208,117
1236.370515,917.413584,916.341709,118
1241.411238,958.242834,956.927709,119
1246.400638,947.553542,946.450168,120
