schema_version,run_id,condition,iteration,direction,attempt,rc,counter_cycles,duration_ns,request_elapsed_ns
1,run-004,idle,41,DYN-to-RTO,0,0,6678,278250,278250
1,run-004,idle,41,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,42,DYN-to-RTO,0,0,6692,278833,278833
1,run-004,idle,42,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,43,DYN-to-RTO,0,0,6846,285250,285250
1,run-004,idle,43,RTO-to-DYN,0,0,931,38791,39083
1,run-004,idle,44,DYN-to-RTO,0,0,6678,278250,278250
1,run-004,idle,44,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,45,DYN-to-RTO,0,0,6671,277958,278250
1,run-004,idle,45,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,46,DYN-to-RTO,0,0,6769,282041,282041
1,run-004,idle,46,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,47,DYN-to-RTO,0,0,6671,277958,277958
1,run-004,idle,47,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,48,DYN-to-RTO,0,0,6671,277958,278250
1,run-004,idle,48,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,49,DYN-to-RTO,0,0,6734,280583,280875
1,run-004,idle,49,RTO-to-DYN,0,0,938,39083,39083
1,run-004,idle,50,DYN-to-RTO,0,0,6678,278250,278250
1,run-004,idle,50,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,51,DYN-to-RTO,0,0,6671,277958,277958
1,run-004,idle,51,RTO-to-DYN,0,0,924,38500,38500
1,run-004,idle,52,DYN-to-RTO,0,0,6825,284375,284375
1,run-004,idle,52,RTO-to-DYN,0,0,938,39083,39083
1,run-004,idle,53,DYN-to-RTO,0,0,6685,278541,278833
1,run-004,idle,53,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,54,DYN-to-RTO,0,0,6678,278250,278250
1,run-004,idle,54,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,55,DYN-to-RTO,0,0,6769,282041,282041
1,run-004,idle,55,RTO-to-DYN,0,0,931,38791,39083
1,run-004,idle,56,DYN-to-RTO,0,0,6678,278250,278541
1,run-004,idle,56,RTO-to-DYN,0,0,924,38500,38500
1,run-004,idle,57,DYN-to-RTO,0,0,6685,278541,278541
1,run-004,idle,57,RTO-to-DYN,0,0,924,38500,38791
1,run-004,idle,58,DYN-to-RTO,0,0,6671,277958,277958
1,run-004,idle,58,RTO-to-DYN,0,0,1120,46666,46958
1,run-004,idle,59,DYN-to-RTO,0,0,6692,278833,278833
1,run-004,idle,59,RTO-to-DYN,0,0,931,38791,39083
1,run-004,idle,60,DYN-to-RTO,0,0,6685,278541,278541
1,run-004,idle,60,RTO-to-DYN,0,0,931,38791,39083
1,run-004,idle,61,DYN-to-RTO,0,0,6671,277958,277958
1,run-004,idle,61,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,62,DYN-to-RTO,0,0,6832,284666,284666
1,run-004,idle,62,RTO-to-DYN,0,0,1029,42875,42875
1,run-004,idle,63,DYN-to-RTO,0,0,6671,277958,278250
1,run-004,idle,63,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,64,DYN-to-RTO,0,0,6678,278250,278250
1,run-004,idle,64,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,65,DYN-to-RTO,0,0,6748,281166,281458
1,run-004,idle,65,RTO-to-DYN,0,0,938,39083,39083
1,run-004,idle,66,DYN-to-RTO,0,0,6685,278541,278541
1,run-004,idle,66,RTO-to-DYN,0,0,924,38500,38791
1,run-004,idle,67,DYN-to-RTO,0,0,6671,277958,277958
1,run-004,idle,67,RTO-to-DYN,0,0,924,38500,38500
1,run-004,idle,68,DYN-to-RTO,0,0,6818,284083,284083
1,run-004,idle,68,RTO-to-DYN,0,0,938,39083,39083
1,run-004,idle,69,DYN-to-RTO,0,0,6678,278250,278250
1,run-004,idle,69,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,70,DYN-to-RTO,0,0,6671,277958,278250
1,run-004,idle,70,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,71,DYN-to-RTO,0,0,6762,281750,281750
1,run-004,idle,71,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,72,DYN-to-RTO,0,0,6678,278250,278250
1,run-004,idle,72,RTO-to-DYN,0,0,924,38500,38500
1,run-004,idle,73,DYN-to-RTO,0,0,6671,277958,277958
1,run-004,idle,73,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,74,DYN-to-RTO,0,0,6741,280875,280875
1,run-004,idle,74,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,75,DYN-to-RTO,0,0,6671,277958,277958
1,run-004,idle,75,RTO-to-DYN,0,0,938,39083,39083
1,run-004,idle,76,DYN-to-RTO,0,0,6678,278250,278250
1,run-004,idle,76,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,77,DYN-to-RTO,0,0,6734,280583,280875
1,run-004,idle,77,RTO-to-DYN,0,0,938,39083,39083
1,run-004,idle,78,DYN-to-RTO,0,0,6671,277958,278250
1,run-004,idle,78,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,79,DYN-to-RTO,0,0,6671,277958,277958
1,run-004,idle,79,RTO-to-DYN,0,0,931,38791,39083
1,run-004,idle,80,DYN-to-RTO,0,0,6734,280583,280875
1,run-004,idle,80,RTO-to-DYN,0,0,938,39083,39083
1,run-004,idle,81,DYN-to-RTO,0,0,6678,278250,278250
1,run-004,idle,81,RTO-to-DYN,0,0,924,38500,38791
1,run-004,idle,82,DYN-to-RTO,0,0,6671,277958,277958
1,run-004,idle,82,RTO-to-DYN,0,0,938,39083,39083
1,run-004,idle,83,DYN-to-RTO,0,0,6671,277958,277958
1,run-004,idle,83,RTO-to-DYN,0,0,938,39083,39083
1,run-004,idle,84,DYN-to-RTO,0,0,6678,278250,278250
1,run-004,idle,84,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,85,DYN-to-RTO,0,0,6671,277958,278250
1,run-004,idle,85,RTO-to-DYN,0,0,938,39083,39083
1,run-004,idle,86,DYN-to-RTO,0,0,6678,278250,278250
1,run-004,idle,86,RTO-to-DYN,0,0,938,39083,39083
1,run-004,idle,87,DYN-to-RTO,0,0,6783,282625,282625
1,run-004,idle,87,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,88,DYN-to-RTO,0,0,6685,278541,278541
1,run-004,idle,88,RTO-to-DYN,0,0,938,39083,39083
1,run-004,idle,89,DYN-to-RTO,0,0,6678,278250,278250
1,run-004,idle,89,RTO-to-DYN,0,0,924,38500,38791
1,run-004,idle,90,DYN-to-RTO,0,0,6748,281166,281166
1,run-004,idle,90,RTO-to-DYN,0,0,931,38791,39083
1,run-004,idle,91,DYN-to-RTO,0,0,6664,277666,277958
1,run-004,idle,91,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,92,DYN-to-RTO,0,0,6671,277958,277958
1,run-004,idle,92,RTO-to-DYN,0,0,931,38791,39083
1,run-004,idle,93,DYN-to-RTO,0,0,6734,280583,280583
1,run-004,idle,93,RTO-to-DYN,0,0,1015,42291,42291
1,run-004,idle,94,DYN-to-RTO,0,0,6678,278250,278250
1,run-004,idle,94,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,95,DYN-to-RTO,0,0,6678,278250,278250
1,run-004,idle,95,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,96,DYN-to-RTO,0,0,6748,281166,281166
1,run-004,idle,96,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,97,DYN-to-RTO,0,0,6671,277958,277958
1,run-004,idle,97,RTO-to-DYN,0,0,924,38500,38791
1,run-004,idle,98,DYN-to-RTO,0,0,6678,278250,278250
1,run-004,idle,98,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,99,DYN-to-RTO,0,0,6741,280875,280875
1,run-004,idle,99,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,100,DYN-to-RTO,0,0,6678,278250,278250
1,run-004,idle,100,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,101,DYN-to-RTO,0,0,6671,277958,277958
1,run-004,idle,101,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,102,DYN-to-RTO,0,0,6839,284958,284958
1,run-004,idle,102,RTO-to-DYN,0,0,938,39083,39083
1,run-004,idle,103,DYN-to-RTO,0,0,6685,278541,278541
1,run-004,idle,103,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,104,DYN-to-RTO,0,0,6678,278250,278250
1,run-004,idle,104,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,105,DYN-to-RTO,0,0,6846,285250,285250
1,run-004,idle,105,RTO-to-DYN,0,0,931,38791,39083
1,run-004,idle,106,DYN-to-RTO,0,0,6678,278250,278250
1,run-004,idle,106,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,107,DYN-to-RTO,0,0,6664,277666,277666
1,run-004,idle,107,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,108,DYN-to-RTO,0,0,6741,280875,280875
1,run-004,idle,108,RTO-to-DYN,0,0,938,39083,39083
1,run-004,idle,109,DYN-to-RTO,0,0,6671,277958,278250
1,run-004,idle,109,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,110,DYN-to-RTO,0,0,6685,278541,278541
1,run-004,idle,110,RTO-to-DYN,0,0,931,38791,39083
1,run-004,idle,111,DYN-to-RTO,0,0,6678,278250,278250
1,run-004,idle,111,RTO-to-DYN,0,0,931,38791,39083
1,run-004,idle,112,DYN-to-RTO,0,0,6720,280000,280000
1,run-004,idle,112,RTO-to-DYN,0,0,924,38500,38500
1,run-004,idle,113,DYN-to-RTO,0,0,6685,278541,278541
1,run-004,idle,113,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,114,DYN-to-RTO,0,0,6678,278250,278250
1,run-004,idle,114,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,115,DYN-to-RTO,0,0,6818,284083,284083
1,run-004,idle,115,RTO-to-DYN,0,0,938,39083,39083
1,run-004,idle,116,DYN-to-RTO,0,0,6678,278250,278541
1,run-004,idle,116,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,117,DYN-to-RTO,0,0,6671,277958,277958
1,run-004,idle,117,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,118,DYN-to-RTO,0,0,6762,281750,281750
1,run-004,idle,118,RTO-to-DYN,0,0,938,39083,39083
1,run-004,idle,119,DYN-to-RTO,0,0,6671,277958,278250
1,run-004,idle,119,RTO-to-DYN,0,0,931,38791,39083
1,run-004,idle,120,DYN-to-RTO,0,0,6685,278541,278541
1,run-004,idle,120,RTO-to-DYN,0,0,938,39083,39083
1,run-004,idle,121,DYN-to-RTO,0,0,6734,280583,280875
1,run-004,idle,121,RTO-to-DYN,0,0,938,39083,39083
1,run-004,idle,122,DYN-to-RTO,0,0,6678,278250,278250
1,run-004,idle,122,RTO-to-DYN,0,0,945,39375,39375
1,run-004,idle,123,DYN-to-RTO,0,0,6671,277958,277958
1,run-004,idle,123,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,124,DYN-to-RTO,0,0,6762,281750,281750
1,run-004,idle,124,RTO-to-DYN,0,0,1015,42291,42291
1,run-004,idle,125,DYN-to-RTO,0,0,6664,277666,277666
1,run-004,idle,125,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,126,DYN-to-RTO,0,0,6671,277958,277958
1,run-004,idle,126,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,127,DYN-to-RTO,0,0,6741,280875,281166
1,run-004,idle,127,RTO-to-DYN,0,0,931,38791,39083
1,run-004,idle,128,DYN-to-RTO,0,0,6671,277958,278250
1,run-004,idle,128,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,129,DYN-to-RTO,0,0,6671,277958,277958
1,run-004,idle,129,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,130,DYN-to-RTO,0,0,6741,280875,280875
1,run-004,idle,130,RTO-to-DYN,0,0,938,39083,39083
1,run-004,idle,131,DYN-to-RTO,0,0,6678,278250,278250
1,run-004,idle,131,RTO-to-DYN,0,0,924,38500,38791
1,run-004,idle,132,DYN-to-RTO,0,0,6692,278833,278833
1,run-004,idle,132,RTO-to-DYN,0,0,924,38500,38791
1,run-004,idle,133,DYN-to-RTO,0,0,6748,281166,281166
1,run-004,idle,133,RTO-to-DYN,0,0,931,38791,39083
1,run-004,idle,134,DYN-to-RTO,0,0,6678,278250,278541
1,run-004,idle,134,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,135,DYN-to-RTO,0,0,6678,278250,278250
1,run-004,idle,135,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,136,DYN-to-RTO,0,0,6685,278541,278541
1,run-004,idle,136,RTO-to-DYN,0,0,1036,43166,43166
1,run-004,idle,137,DYN-to-RTO,0,0,6685,278541,278541
1,run-004,idle,137,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,138,DYN-to-RTO,0,0,6671,277958,277958
1,run-004,idle,138,RTO-to-DYN,0,0,924,38500,38500
1,run-004,idle,139,DYN-to-RTO,0,0,6671,277958,277958
1,run-004,idle,139,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,140,DYN-to-RTO,0,0,6734,280583,280583
1,run-004,idle,140,RTO-to-DYN,0,0,938,39083,39083
1,run-004,idle,141,DYN-to-RTO,0,0,6678,278250,278250
1,run-004,idle,141,RTO-to-DYN,0,0,924,38500,38791
1,run-004,idle,142,DYN-to-RTO,0,0,6671,277958,277958
1,run-004,idle,142,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,143,DYN-to-RTO,0,0,6741,280875,280875
1,run-004,idle,143,RTO-to-DYN,0,0,938,39083,39083
1,run-004,idle,144,DYN-to-RTO,0,0,6671,277958,278250
1,run-004,idle,144,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,145,DYN-to-RTO,0,0,6685,278541,278541
1,run-004,idle,145,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,146,DYN-to-RTO,0,0,6741,280875,280875
1,run-004,idle,146,RTO-to-DYN,0,0,938,39083,39083
1,run-004,idle,147,DYN-to-RTO,0,0,6685,278541,278541
1,run-004,idle,147,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,148,DYN-to-RTO,0,0,6671,277958,277958
1,run-004,idle,148,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,149,DYN-to-RTO,0,0,6748,281166,281458
1,run-004,idle,149,RTO-to-DYN,0,0,931,38791,39083
1,run-004,idle,150,DYN-to-RTO,0,0,6678,278250,278250
1,run-004,idle,150,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,151,DYN-to-RTO,0,0,6678,278250,278250
1,run-004,idle,151,RTO-to-DYN,0,0,924,38500,38791
1,run-004,idle,152,DYN-to-RTO,0,0,6741,280875,280875
1,run-004,idle,152,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,153,DYN-to-RTO,0,0,6671,277958,277958
1,run-004,idle,153,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,154,DYN-to-RTO,0,0,6664,277666,277958
1,run-004,idle,154,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,155,DYN-to-RTO,0,0,6741,280875,280875
1,run-004,idle,155,RTO-to-DYN,0,0,1008,42000,42000
1,run-004,idle,156,DYN-to-RTO,0,0,6671,277958,277958
1,run-004,idle,156,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,157,DYN-to-RTO,0,0,6678,278250,278250
1,run-004,idle,157,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,158,DYN-to-RTO,0,0,6748,281166,281458
1,run-004,idle,158,RTO-to-DYN,0,0,931,38791,39083
1,run-004,idle,159,DYN-to-RTO,0,0,6678,278250,278541
1,run-004,idle,159,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,160,DYN-to-RTO,0,0,6671,277958,278250
1,run-004,idle,160,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,161,DYN-to-RTO,0,0,6671,277958,278250
1,run-004,idle,161,RTO-to-DYN,0,0,1022,42583,42583
1,run-004,idle,162,DYN-to-RTO,0,0,6678,278250,278250
1,run-004,idle,162,RTO-to-DYN,0,0,938,39083,39083
1,run-004,idle,163,DYN-to-RTO,0,0,6678,278250,278250
1,run-004,idle,163,RTO-to-DYN,0,0,938,39083,39083
1,run-004,idle,164,DYN-to-RTO,0,0,6678,278250,278250
1,run-004,idle,164,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,165,DYN-to-RTO,0,0,6762,281750,282041
1,run-004,idle,165,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,166,DYN-to-RTO,0,0,6678,278250,278250
1,run-004,idle,166,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,167,DYN-to-RTO,0,0,6685,278541,278541
1,run-004,idle,167,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,168,DYN-to-RTO,0,0,6741,280875,280875
1,run-004,idle,168,RTO-to-DYN,0,0,931,38791,39083
1,run-004,idle,169,DYN-to-RTO,0,0,6671,277958,278250
1,run-004,idle,169,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,170,DYN-to-RTO,0,0,6664,277666,277958
1,run-004,idle,170,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,171,DYN-to-RTO,0,0,6741,280875,281166
1,run-004,idle,171,RTO-to-DYN,0,0,938,39083,39083
1,run-004,idle,172,DYN-to-RTO,0,0,6671,277958,277958
