timestamp,response_ms,inference_ms,request_id
1225.777769,754.998417,754.110875,1
1231.048534,1025.655459,1024.855417,2
1235.962928,940.067917,939.351875,3
1240.904537,881.654084,880.591542,4
1245.914063,891.206458,890.428583,5
1250.965698,942.823292,941.766875,6
1255.766844,743.982167,743.255917,7
1260.692890,670.016084,668.292334,8
1265.741892,719.037667,718.516750,9
1270.872781,849.905292,848.679709,10
1275.659331,636.454000,635.490042,11
1280.843220,820.348959,819.448876,12
1285.766726,743.877750,743.116501,13
1290.960742,937.883042,936.751083,14
1295.887946,865.071084,863.964792,15
1300.982444,959.552709,958.401501,16
1305.921832,898.965959,898.320209,17
1311.021675,998.819792,998.095292,18
1315.790139,767.260959,766.299042,19
1320.740798,717.930792,716.984042,20
1325.779446,756.572834,755.519625,21
1330.809658,786.784251,785.678542,22
1335.603062,580.186542,579.145584,23
1340.749855,726.984417,725.867917,24
1345.858356,835.490250,834.655501,25
1350.970200,947.330417,946.372584,26
1355.903289,880.415375,879.408250,27
1360.973866,950.994626,949.748917,28
1365.894290,871.417459,870.371543,29
1370.797462,774.589376,773.423876,30
1375.741214,718.369459,717.755792,31
1380.701284,678.412001,677.587167,32
1385.744445,721.602292,720.631334,33
1390.887298,864.456834,863.270042,34
1395.718131,695.293376,694.279542,35
1400.671322,648.491083,647.712625,36
1405.650275,627.428375,626.409875,37
1410.956133,933.294250,932.282167,38
1415.945091,922.260209,921.468333,39
1420.965356,942.506834,941.396750,40
1425.951381,928.536876,927.323250,41
1430.825745,802.884542,801.850584,42
1435.773373,750.514917,749.912334,43
1440.787534,764.666875,763.781084,44
1445.836792,813.920334,812.874417,45
1450.770783,747.927833,747.349459,46
1455.890671,867.813625,867.168458,47
1460.722433,699.561625,698.528834,48
1465.767317,744.448833,743.442876,49
1471.014220,991.339125,990.214167,50
1475.948368,925.490417,924.363126,51
1480.965825,942.947834,941.780583,52
1485.990113,967.239292,966.190167,53
1490.927256,904.386292,903.364001,54
1495.778503,755.647084,755.042459,55
1500.848491,825.623459,824.468750,56
1505.826166,803.292000,802.151875,57
1510.760837,737.974417,736.954751,58
1515.701533,678.707459,677.954667,59
1520.855291,832.463625,831.860167,60
1525.946988,924.141459,923.122376,61
1530.832950,810.124293,809.426626,62
1535.941586,918.757292,917.963959,63
1540.951302,928.469792,927.872750,64
1545.972072,949.226833,947.858626,65
1550.832944,810.105042,809.357792,66
1555.714295,691.469042,690.743958,67
1560.742500,719.671459,719.020750,68
1565.751727,728.869167,727.827334,69
1570.707105,684.240667,683.187167,70
1575.773274,750.414000,749.363417,71
1580.776539,753.710709,752.977459,72
1585.778552,755.726417,755.055001,73
1590.843848,821.003459,819.305375,74
1595.980359,957.499376,956.290417,75
1600.929447,906.585751,905.815167,76
1605.900438,877.579208,876.296458,77
1610.923476,900.599875,899.507292,78
1615.752530,729.663667,728.679292,79
1620.665430,642.550126,641.557584,80
1625.676595,653.736417,653.112833,81
1630.771937,749.066500,747.330500,82
1635.721112,698.253792,697.477667,83
1640.782567,759.708250,758.968000,84
1645.764793,741.936126,741.277542,85
1650.929998,907.121542,905.838500,86
1655.947274,924.409792,923.623167,87
1660.921846,898.970626,897.994126,88
1665.982284,959.394917,958.067542,89
1670.896098,873.240667,872.553208,90
1675.621045,598.175375,597.248458,91
1680.690319,667.474792,666.811542,92
1685.823954,801.123167,800.419375,93
1690.732894,710.056084,709.147250,94
1695.665040,642.210042,641.672500,95
1700.789726,766.857583,765.601958,96
1705.694481,671.633375,669.776625,97
1710.879074,856.225417,855.540000,98
1715.976989,954.110500,952.975334,99
1720.958142,935.256584,933.843751,100
1725.969449,946.605043,945.843792,101
1730.909703,886.866167,885.201918,102
1735.819552,796.687792,795.601334,103
1740.734952,712.115250,711.107833,104
1745.767749,744.882251,743.816208,105
1750.754634,731.763667,730.708417,106
1755.759130,736.270209,735.546584,107
1760.810378,787.510209,786.243501,108
1765.656837,633.972208,633.045000,109
1770.920491,897.617876,896.589167,110
1775.930184,907.293042,906.096626,111
1780.972621,949.748917,948.504958,112
1785.976066,953.187376,951.881001,113
1790.971400,948.521001,947.349959,114
1795.694979,672.111125,671.299708,115
1800.777900,755.050917,754.439000,116
1805.748937,726.106209,725.279917,117
1810.691478,668.654000,668.000083,118
1815.813939,791.111709,790.339959,119
1820.760263,737.437459,736.670667,120
