timestamp,response_ms,inference_ms,request_id
625.554966,662.518792,661.972500,1
630.705418,812.877042,812.182875,2
635.715214,822.666542,820.830209,3
640.683405,790.879250,790.296500,4
645.723335,830.816584,829.435834,5
650.499365,606.830584,606.297125,6
655.493336,600.802125,599.842250,7
660.476368,583.848416,582.950667,8
665.510237,617.713250,617.124083,9
670.656451,763.915542,763.222250,10
675.487645,595.100625,594.097876,11
680.468690,576.155709,575.619042,12
685.560203,667.672250,666.940458,13
690.446874,554.370542,553.884333,14
695.726158,833.625917,832.578250,15
700.658164,765.609251,764.526584,16
705.672159,779.611875,778.578208,17
710.691393,798.861001,798.172959,18
715.548865,656.305709,655.208167,19
720.491811,599.289542,598.737417,20
725.484343,591.818500,590.827708,21
730.629660,737.149000,736.567125,22
735.542977,650.448750,649.096584,23
740.576282,683.749208,682.751708,24
745.496601,604.057709,603.117375,25
750.683779,791.281751,790.624625,26
755.599041,706.495708,705.524459,27
760.821783,929.249709,928.683001,28
765.676515,783.981334,783.056167,29
770.534144,641.640417,641.092375,30
775.471106,578.573042,576.908209,31
780.529278,636.664876,635.709376,32
785.562093,669.525792,668.321209,33
790.476278,583.743125,582.717041,34
795.455240,562.716584,561.709750,35
800.477721,585.203500,584.695709,36
805.576376,683.831167,682.870709,37
810.498977,606.439459,605.856709,38
815.703163,810.616917,808.993792,39
820.725130,832.595458,831.605833,40
825.664744,772.206750,770.989042,41
830.598427,705.882334,704.405917,42
835.474201,581.668792,580.685292,43
840.565099,672.556501,671.607417,44
845.499283,606.738125,605.735375,45
850.560689,668.150292,667.579792,46
855.569964,677.420042,676.461625,47
860.480675,588.145834,587.213959,48
865.520000,627.480292,626.520417,49
870.568059,675.526251,669.953375,50
875.757413,864.857292,863.881375,51
880.737293,844.756501,844.117459,52
885.781437,888.903751,888.193834,53
890.579655,687.131667,686.475417,54
895.477574,585.053876,584.089042,55
900.555407,662.880459,661.986792,56
905.409432,516.887000,515.887751,57
910.571791,679.246458,678.260625,58
915.467697,575.150625,574.186667,59
920.576908,684.376292,683.377334,60
925.516383,623.877042,623.372459,61
930.654650,762.118292,760.769625,62
935.796365,903.836500,903.139708,63
940.656991,764.456584,763.941209,64
945.790574,898.026209,896.945293,65
950.662248,769.717084,769.144250,66
955.495150,602.613084,600.569958,67
960.559112,666.587542,665.456459,68
965.491576,599.059125,598.564459,69
970.436340,543.795583,542.388876,70
975.540613,648.066126,646.974417,71
980.446778,554.246876,553.706417,72
985.416070,523.536709,522.600458,73
990.504894,612.390042,611.828875,74
995.809189,916.658750,915.565000,75
1000.822727,930.166708,928.852459,76
1005.795775,903.214959,901.848209,77
1010.618725,726.171833,725.103750,78
1015.518620,626.072709,624.523375,79
1020.545024,652.493626,651.975625,80
1025.453092,560.571084,559.900833,81
1030.545541,653.036709,652.529792,82
1035.691647,799.131667,798.454126,83
1040.473963,581.441876,580.447001,84
1045.774725,882.205917,881.217459,85
1050.772535,880.007917,878.950042,86
1055.816087,923.560750,922.348000,87
1060.702239,809.736667,809.214292,88
1065.722036,829.514292,828.432792,89
1070.619106,726.589209,725.889792,90
1075.518173,625.640167,625.044875,91
1080.578231,685.681792,684.693625,92
1085.477919,585.360125,584.150292,93
1090.548949,656.429958,655.465708,94
1095.652413,759.882375,759.012042,95
1100.526438,633.864876,632.765875,96
1105.454406,561.863167,560.859833,97
1110.647020,754.470792,753.874626,98
1115.733895,841.362376,840.389959,99
1120.748752,856.191584,854.795376,100
1125.690861,798.315292,797.363001,101
1130.524623,632.062375,631.135750,102
1135.491878,599.330959,598.121709,103
1140.570929,678.369417,677.274208,104
1145.573781,681.259251,680.654625,105
1150.505345,612.832208,612.007375,106
1155.438060,545.554334,544.863958,107
1160.620936,728.432833,727.843375,108
1165.491528,599.008959,598.048209,109
1170.792852,900.328917,899.353584,110
1175.696515,803.994042,802.796751,111
1180.791467,898.944667,897.965834,112
1185.680135,787.618126,787.036250,113
1190.727986,835.467792,834.446376,114
1195.570206,677.677875,677.103001,115
1200.497574,605.056083,604.555000,116
1205.493807,601.261208,600.155500,117
1210.509942,617.395333,616.510417,118
1215.493244,600.697417,599.701375,119
1220.561337,668.803042,667.917833,120
